"","mode","pre.weight","post.weight","pay.attention.politics","interest.campaigns","voted.primary","primary.vote.choice","already.voted","vote.choice","vote.intention","voted.2016","vote.choice.2016","vote.choice.2012","country.right.track","approve.congress","approve.president","approve.president.covid","therm.biden","therm.trump","therm.dem","therm.rep","ideology7","ideology.biden","ideology.trump","ideology.dem","ideology.rep","vote.duty.choice","party.id","trust.in.people","religion","how.often.religion","age","education","weeks.worked","race","gender","income","know1","know2","know3","know4","knowledge.quiz"
"1","web",0.962809123332029,1.00573747444017,"Most of the time",NA,"Yes",NA,"No","Trump",NA,NA,"Trump","Romney","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,0,85,"Conservative","Extremely liberal","Slightly conservative","Extremely liberal","Slightly conservative","Mainly duty","Strong Republican","About hald the time","Other religion",NA,46,"BA",50,"Hispanic","Male",175,1,0,1,1,3
"2","web",1.06908509305444,1.16347312190926,"Some of the time",NA,"Yes",NA,"No","Jorgensen",NA,NA,"Other","Other","No","Disapprove strongly","Disapprove strongly","Dissaprove not strongly",0,0,0,50,"Moderate; middle of the road","Extremely conservative","Liberal","Slightly liberal","Conservative","Neither duty or choice","Independent","Some of the time","Not religious","Never",37,"Less than BA",NA,"Asian/Hawaiian/Pacific-Islander","Female",70,0,0,0,0,0
"3","web",0.683420884657796,0.768681110109909,"Always",NA,"Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",65,0,60,0,"Liberal","Slightly liberal","Extremely conservative","Slightly liberal","Extremely conservative",NA,"Lean Democrat","Some of the time","Other religion","Once or twice a month",40,"High school",NA,"White, non-Hispanic","Female",100,1,1,1,1,4
"4","web",0.50095304838357,0.521019534357875,"Most of the time",NA,"No",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Approve not strongly","Disapprove strongly","Disapprove strongly",70,15,50,70,"Slightly liberal","Conservative","Moderate; middle of the road","Slightly liberal","Moderate; middle of the road",NA,"Not strong Republican","Most of the time","Roman Catholic",NA,41,"Less than BA",NA,"Asian/Hawaiian/Pacific-Islander","Male",35,0,1,0,0,1
"5","web",1.2622939838968,0.965789166832749,"Most of the time",NA,"Yes",NA,"No","Trump",NA,NA,"Trump","Obama","No","Disapprove strongly","Approve strongly","Dissaprove not strongly",15,85,20,70,"Slightly conservative","Extremely liberal","Moderate; middle of the road","Extremely liberal","Slightly conservative",NA,"Independent","Some of the time","Not religious",NA,72,NA,NA,"Native American","Male",250,1,1,1,1,4
"6","web",0.269029682335973,0.23470782633613,"Always","Very much interested","No",NA,"No","Biden",NA,NA,NA,"Romney","No","Approve strongly","Disapprove strongly","Disapprove strongly",85,0,85,15,"Moderate; middle of the road","Slightly liberal","Conservative","Slightly liberal","Extremely conservative","Mainly choice","Lean Democrat","Most of the time","Not religious",NA,71,"Less than BA",NA,"White, non-Hispanic","Female",15,0,0,1,1,2
"7","web",0.449004973607306,0.440700134379997,"Some of the time",NA,"No",NA,"No","Trump",NA,NA,"Other","Romney","No","Disapprove strongly","Dissaprove not strongly","Approve strongly",50,75,15,75,"Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road","Moderate; middle of the road",NA,"Not strong Republican","Some of the time","Evangelical Protestant",NA,37,"Less than BA",11,"White, non-Hispanic","Female",20,0,1,0,0,1
"8","web",0.616581490032329,0.769430262817186,"Some of the time",NA,"No",NA,"No","Trump",NA,NA,NA,NA,"Yes","Approve not strongly","Approve strongly","Approve strongly",50,100,50,100,NA,"Slightly conservative","Slightly conservative","Slightly conservative","Slightly conservative",NA,"Not strong Republican","Always","Evangelical Protestant","Every week",45,"High school",40,"White, non-Hispanic","Female",15,0,0,0,1,1
"9","web",1.42627006696408,1.42151619894385,"About half of the time",NA,"No",NA,"Yes","Biden",NA,"Yes","Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",85,0,NA,NA,NA,"Conservative","Moderate; middle of the road","Slightly liberal","Slightly conservative",NA,"Independent","About hald the time","Evangelical Protestant",NA,70,"High school",NA,"White, non-Hispanic","Female",50,1,0,0,0,1
"10","web",2.22490975528077,1.84221626331928,"Most of the time",NA,"No",NA,"No",NA,NA,"Yes","Clinton",NA,"Yes","Approve not strongly","Disapprove strongly","Disapprove strongly",85,0,60,50,NA,"Slightly liberal","Moderate; middle of the road","Moderate; middle of the road","Extremely conservative",NA,"Not strong Democrat","Most of the time","Not religious",NA,43,"Less than BA",10,"Hispanic","Male",60,1,0,0,1,2
"11","web",1.57163244385629,1.54801077365037,"Some of the time",NA,"No",NA,"No","Biden",NA,"No",NA,NA,"No","Disapprove strongly","Disapprove strongly","Disapprove strongly",100,0,100,0,NA,"Moderate; middle of the road","Extremely liberal","Moderate; middle of the road","Extremely liberal","Mainly duty","Strong Democrat","Some of the time","Other Christian",NA,37,"High school",NA,"Hispanic","Female",45,0,0,1,0,1
"12","web",1.03373824174685,1.2514017508479,"Some of the time",NA,"No",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",60,0,50,30,"Moderate; middle of the road","Slightly liberal","Conservative","Liberal","Conservative",NA,"Not strong Democrat","About hald the time","Other Christian","Almost every week",55,"High school",NA,"White, non-Hispanic","Male",110,0,1,1,0,2
"13","web",0.249587649430734,0.292632404266775,"Most of the time",NA,"No",NA,"No","Trump",NA,NA,NA,NA,"No","Dissaprove not strongly","Approve strongly","Approve not strongly",0,100,0,85,"Conservative","Liberal","Conservative","Extremely liberal","Conservative",NA,"Strong Republican","Some of the time","Other Christian",NA,30,"High school",NA,"White, non-Hispanic","Female",5,0,1,1,0,2
"14","web",0.585464106960697,0.515282283901104,"Always","Very much interested","Yes",NA,"Yes","Biden",NA,"Yes","Clinton","Obama","No","Approve not strongly","Disapprove strongly","Disapprove strongly",85,0,85,0,"Slightly liberal","Slightly liberal","Extremely conservative","Liberal","Extremely conservative",NA,"Not strong Democrat","About hald the time","Other religion","Almost every week",38,NA,30,"Asian/Hawaiian/Pacific-Islander","Male",175,1,1,1,1,4
"15","web",1.10549934594464,1.34300705621002,"Some of the time",NA,"No",NA,"No","Biden",NA,NA,NA,"Obama","Yes","Approve not strongly","Approve not strongly","Approve not strongly",60,40,60,40,"Moderate; middle of the road","Slightly liberal","Extremely liberal","Moderate; middle of the road","Liberal","Mainly duty","Lean Democrat","Some of the time","Undifferentiated Protestant",NA,41,"Less than BA",NA,"Black, non-Hispanic","Female",15,1,1,0,1,3
"16","web",0.45288293043542,0.455995341796958,"Most of the time","Very much interested","No",NA,"No","Trump",NA,"No",NA,NA,"No","Disapprove strongly","Approve strongly","Approve not strongly",0,100,0,100,"Conservative","Extremely liberal","Conservative","Extremely liberal","Conservative","Mainly choice","Lean Republican","Some of the time","Roman Catholic",NA,66,"Less than BA",NA,"Hispanic","Male",35,0,0,1,1,2
"17","web",1.13349083276201,1.2173171900148,"Always","Very much interested","No",NA,"No","Biden",NA,NA,"Other","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",60,0,40,30,"Slightly liberal","Liberal","Slightly conservative","Extremely liberal","Conservative",NA,"Lean Democrat","Most of the time","Roman Catholic",NA,54,"BA",NA,"White, non-Hispanic","Male",250,1,1,1,1,4
"18","web",0.707343573993556,0.741825200066939,"Most of the time","Very much interested","Yes",NA,"Yes","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,0,85,16,"Slightly liberal","Slightly liberal","Conservative","Liberal","Conservative",NA,"Strong Democrat","Most of the time","Roman Catholic",NA,55,"BA",NA,"White, non-Hispanic","Male",150,1,1,1,1,4
"19","web",0.592091604064592,0.627431722421454,"About half of the time","Very much interested","No",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Disapprove strongly",85,15,85,0,"Liberal","Slightly liberal","Conservative","Moderate; middle of the road","Conservative","Mainly duty","Strong Democrat","About hald the time","Roman Catholic","Almost every week",62,"BA",NA,"White, non-Hispanic","Female",NA,1,1,1,1,4
"20","web",0.598144594224098,0.549806603681382,"Most of the time",NA,"Yes",NA,"No","Biden",NA,NA,"Clinton","Obama","No","Disapprove strongly","Disapprove strongly","Dissaprove not strongly",70,15,85,30,"Slightly liberal","Liberal","Conservative","Liberal","Conservative",NA,"Not strong Democrat","Most of the time","Roman Catholic","Every week",80,"High school",NA,"White, non-Hispanic","Female",25,0,1,1,1,3
"21","web",0.911797310335048,1.10611156482799,"Most of the time",NA,"No",NA,"No","Trump",NA,"No",NA,NA,"No","Approve strongly","Approve strongly","Approve strongly",0,95,0,100,"Conservative","Liberal","Conservative","Extremely liberal","Extremely conservative",NA,"Strong Republican","About hald the time","Roman Catholic","A few times a year",31,NA,NA,"Hispanic","Male",65,0,1,1,1,3
"22","web",2.39158343024978,2.13243923681911,"Most of the time","Very much interested","No",NA,"No","Biden",NA,"Yes","Clinton","Obama","No","Dissaprove not strongly","Disapprove strongly","Disapprove strongly",75,0,70,15,"Moderate; middle of the road","Liberal","Extremely conservative","Liberal","Conservative","Mainly duty","Strong Democrat","Some of the time","Roman Catholic","Every week",80,"Less than high school",NA,"Hispanic","Female",30,1,0,0,1,2
"23","web",6.90387403186744,6.61662904723262,"Most of the time","Very much interested","Yes",NA,"No","Biden",NA,NA,"Clinton",NA,"No","Disapprove strongly","Disapprove strongly","Disapprove strongly",40,5,25,0,"Liberal","Slightly conservative","Conservative","Moderate; middle of the road","Extremely conservative","Mainly duty","Lean Democrat","About hald the time","Not religious",NA,24,"BA",NA,"White, non-Hispanic","Male",175,1,1,1,1,4
"24","web",1.31773390966646,1.72784997916338,"Always","Very much interested","Yes",NA,"No","Other",NA,"Yes","Other","Other","Yes","Disapprove strongly","Approve strongly","Approve strongly",0,100,30,85,"Conservative","Extremely liberal","Conservative","Extremely liberal","Conservative",NA,"Strong Republican","About hald the time","Other Christian","Every week",55,NA,NA,"White, non-Hispanic","Male",80,0,0,1,1,2
