"","id","weight","week","bi.week","state","county.fips","senate.topline","governor.topline","biden.approval","presvote2020","pid","ideology","most.important.problem","abortion.policy","age","race","gender","hispanic","education"
"1",118158025617,0.0316589243469619,43,22,"AZ","04013","Democrat","Democrat","Somewhat approve","dem","Democrat","Moderate","Inflation",NA,37,"black","male",FALSE,"Post graduate degree"
"2",118157557679,0.893106651079138,43,22,"AZ",NA,NA,NA,"Somewhat approve","dem","Democrat","Conservative","Crime and safety",NA,24,"asian","male",TRUE,"Associate's degree"
"3",114153878749,1.06902116685654,43,22,"AZ",NA,NA,NA,"Somewhat disapprove","dnv/other","Republican","Conservative","Inflation",NA,46,"hispanic","male",TRUE,"College graduate"
"4",118159457343,0.0791916870908763,43,22,"AZ","25027",NA,NA,"Somewhat disapprove","dnv/other","Independent","Moderate","Inflation",NA,23,"black","female",FALSE,"Some college"
"5",118157881702,2.06085504072565,43,22,"AZ",NA,"Other/Would not Vote","Republican","Somewhat approve","dnv/other","Democrat","Liberal","Abortion",NA,28,"black","female",FALSE,"Post graduate degree"
"6",118158946302,3.62068551797529,43,22,"AZ","36047","Other/Would not Vote","Democrat",NA,"dnv/other","Republican","Moderate",NA,NA,77,"white","male",FALSE,"High school or G.E.D."
"7",118157756644,0.411092944745631,43,22,"AZ","13121","Republican","Other/Would not Vote","Somewhat disapprove","dem","Independent","Very liberal","Crime and safety",NA,55,"hispanic","female",TRUE,"Post graduate degree"
"8",118158141146,0.0640730985263891,43,22,"AZ",NA,NA,NA,"Somewhat approve","dnv/other","Independent","Moderate","Inflation",NA,44,"other","male",FALSE,"Did not complete high school"
"9",118159197431,0.0573223729565656,43,22,"AZ",NA,NA,NA,"Somewhat disapprove","dnv/other","Democrat","Moderate","Abortion",NA,100,"other","male",TRUE,"College graduate"
"10",118159379644,0.404872960444712,43,22,"AZ",NA,"Other/Would not Vote","Republican","Strongly approve","dem","Republican","Very conservative","Crime and safety",NA,30,"white","male",FALSE,"Some college"
"11",118159243246,0.369632535076495,43,22,"AZ",NA,"Republican","Republican","Strongly disapprove","dnv/other","Republican","Conservative","Inflation",NA,25,"other","male",FALSE,"Post graduate degree"
"12",118158304281,0.0833095936938982,43,22,"AZ","04013","Republican","Republican","Strongly approve","dem","Independent","Conservative","Climate change",NA,28,"white","male",FALSE,"High school or G.E.D."
"13",118159690617,0.170069958445157,43,22,"AZ","04013","Other/Would not Vote","Other/Would not Vote","Somewhat disapprove","dnv/other","Independent","Moderate","Inflation",NA,27,"white","female",FALSE,"Post graduate degree"
"14",118159017446,0.850034847075586,43,22,"AZ","04013","Democrat","Democrat","Somewhat approve","dnv/other","Independent","Moderate","Guns",NA,33,"black","male",FALSE,"Some college"
"15",118159079013,0.39406281445147,43,22,"AZ","04013","Democrat","Democrat","Strongly approve","dem","Independent","Moderate","Abortion",NA,54,"white","female",FALSE,"Post graduate degree"
"16",118159748475,4.41139321555575,43,22,"AZ","04013","Democrat","Democrat","Somewhat approve","dnv/other","Democrat","Moderate","Inflation",NA,23,"other","female",TRUE,"Some college"
"17",118157932967,0.0267682612243938,43,22,"AZ","04013",NA,NA,"Somewhat approve","dem","Democrat","Liberal","Crime and safety",NA,35,"hispanic","female",TRUE,"Some college"
"18",118159123405,1.09070042968154,43,22,"AZ","04013","Republican","Republican","Somewhat disapprove","dnv/other","Republican","Moderate","Inflation",NA,55,"white","male",FALSE,"Post graduate degree"
"19",118159124056,0.16853480238402,43,22,"AZ","04013","Democrat","Democrat","Strongly approve","dem","Independent","Very liberal","Abortion",NA,45,"white","male",FALSE,"Post graduate degree"
"20",118157552980,0.161795469194263,43,22,"AZ","04013","Republican","Republican","Strongly disapprove","rep","Republican","Conservative","Inflation",NA,41,"white","male",FALSE,"College graduate"
