Time,Date
2:55:18,24-Jul-08
2:52:45,1-Jan-09
2:46:53,12-Feb-09
2:46:05,8-May-09
2:42:31,"May 8, 1909[nb 6]"
2:40:34,31-Aug-09
2:38:16,12-May-13
2:36:07,31-May-13
2:38:01,29-Nov-14
2:32:36,22-Aug-20
2:29:02,12-Oct-25
2:30:58,5-Jul-29
2:26:14,21-Mar-35
2:27:49,31-Mar-35
2:26:44,3-Apr-35
2:26:42,3-Nov-35
2:25:39,19-Apr-47
2:20:42,14-Jun-52
2:18:40,13-Jun-53
2:18:35,4-Oct-53
2:17:39,26-Jun-54
2:18:05,12-Aug-56
2:15:17,24-Aug-58
2:15:16,10-Sep-60
2:15:16,17-Feb-63
2:14:28,15-Jun-63
2:14:43,6-Jul-63
2:13:55,13-Jun-64
2:12:11,21-Oct-64
2:12:00,12-Jun-65
2:09:36,3-Dec-67
2:08:34,30-May-69
2:09:29,23-Jul-70
2:09:12,31-Jan-74
2:09:06,5-Feb-78
2:09:01,26-Apr-80
2:08:18,6-Dec-81
2:08:05,21-Oct-84
2:07:12,20-Apr-85
2:06:50,17-Apr-88
2:06:05,20-Sep-98
2:05:42,24-Oct-99
2:05:38,14-Apr-02
2:04:55,28-Sep-03
2:04:26,30-Sep-07
2:03:59,28-Sep-08
2:03:38,25-Sep-11
2:03:23,29-Sep-13
2:02:57,28-Sep-14
2:01:39,16-Sep-18
2:01:09,25-Sep-22
