"","Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","Geo_SUMLEV","Geo_GEOCOMP","Geo_FILEID","Geo_LOGRECNO","Geo_US","Geo_REGION","Geo_DIVISION","Geo_STATECE","Geo_STATE","Geo_COUNTY","Geo_COUSUB","Geo_PLACE","Geo_PLACESE","Geo_TRACT","Geo_BLKGRP","Geo_CONCIT","Geo_AIANHH","Geo_AIANHHFP","Geo_AIHHTLI","Geo_AITSCE","Geo_AITS","Geo_ANRC","Geo_CBSA","Geo_CSA","Geo_METDIV","Geo_MACC","Geo_MEMI","Geo_NECTA","Geo_CNECTA","Geo_NECTADIV","Geo_UA","Geo_UACP","Geo_CDCURR","Geo_SLDU","Geo_SLDL","Geo_VTD","Geo_ZCTA3","Geo_ZCTA5","Geo_SUBMCD","Geo_SDELM","Geo_SDSEC","Geo_SDUNI","Geo_UR","Geo_PCI","Geo_TAZ","Geo_UGA","Geo_BTTR","Geo_BTBG","Geo_PUMA5","Geo_PUMA1","SE_A00001_001","SE_A00002_001","SE_A00002_002","SE_A00002_003","SE_A01001_001","SE_A01001_002","SE_A01001_003","SE_A01001_004","SE_A01001_005","SE_A01001_006","SE_A01001_007","SE_A01001_008","SE_A01001_009","SE_A01001_010","SE_A01001_011","SE_A01001_012","SE_A01001_013","SE_A03001_001","SE_A03001_002","SE_A03001_003","SE_A03001_004","SE_A03001_005","SE_A03001_006","SE_A03001_007","SE_A03001_008","SE_A12001_001","SE_A12001_002","SE_A12001_003","SE_A12001_004","SE_A12001_005","SE_A12001_006","SE_A12001_007","SE_A12001_008","SE_A17005_001","SE_A17005_002","SE_A17005_003","SE_A14006_001","SE_A14028_001","SE_A18009_001","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A09005_001","SE_A09005_002","SE_A09005_009","SE_A09005_010","SE_A09005_003","SE_A09005_004","SE_A09005_005","SE_A09005_006","SE_A09005_007","SE_A09005_008","SE_A09003_001","SE_A20001_001","SE_A20001_002","SE_A20001_003","SE_A20001_004","SE_A20001_005"
"1",1001,"05000US01001","Autauga County","Autauga County, Alabama","al",50,0,"ACSSF",13,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55200,55200,92.85992,594.443748774126,55200,3263,4009,3570,2527,4665,7064,7374,7853,6825,4711,2524,815,55200,42437,10565,159,568,32,409,1030,37166,4204,12119,10552,5903,3406,510,472,25189,24124,1065,58786,0.4602,966,13310,3024,10286,33541,4709,28832,24428,23244,21136,2108,26,42,14,153,274,675,26,54277,3875,50402,18191,39594
"2",1003,"05000US01003","Baldwin County","Baldwin County, Alabama","al",50,0,"ACSSF",14,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208107,208107,130.9019,1589.79375657339,208107,11609,11689,14323,8056,15441,23326,25377,28330,29291,24551,12165,3949,208107,179526,19764,1522,1680,9,2034,3572,146989,14310,40579,46025,30431,11338,2992,1314,97722,93379,4343,55962,0.4609,958,45104,6035,39069,119829,12430,107399,91420,83842,77051,6791,82,130,53,636,1070,5607,27,205452,20864,184588,72322,144398
"3",1005,"05000US01005","Barbour County","Barbour County, Alabama","al",50,0,"ACSSF",15,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25782,25782,29.13214,885.00203089744,25782,1390,1450,1677,919,2173,3675,3104,3452,3308,2820,1392,422,25782,12216,12266,72,96,1,778,353,18173,4901,6486,4566,1417,606,92,105,9638,8720,918,34186,0.4731,590,5410,2575,2835,13004,3304,9700,8538,8045,7118,927,22,80,0,182,98,111,23,22882,2558,20324,11508,12324
"4",1007,"05000US01007","Bibb County","Bibb County, Alabama","al",50,0,"ACSSF",16,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22527,22527,36.1902,622.46134885567,22527,1275,1178,1289,917,2088,3075,2895,3439,2710,2122,1112,427,22527,17268,5018,8,37,0,9,187,15780,2650,7471,3846,1197,442,87,87,8757,8099,658,45340,0.4294,714,4621,933,3688,12340,1645,10695,7946,7589,6747,842,37,10,0,44,58,208,29,20468,1619,18849,7748,13840
"5",1009,"05000US01009","Blount County","Blount County, Alabama","al",50,0,"ACSSF",17,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57645,57645,89.39555,644.830762150249,57645,3485,3632,3995,2356,4550,6786,7153,7947,7508,6132,3235,866,57645,55054,862,141,198,18,437,935,39627,7861,13489,13267,3217,1405,240,148,22255,21346,909,48695,0.4331,662,13330,2875,10455,33763,4339,29424,21148,20426,18225,2201,31,24,0,40,150,477,35,57169,6303,50866,19752,38830
"6",1011,"05000US01011","Bullock County","Bullock County, Alabama","al",50,0,"ACSSF",18,NA,NA,NA,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10352,10352,16.62156,622.805665508875,10352,596,634,540,380,1098,1120,1599,1322,1447,1011,430,175,10352,2276,7893,122,56,0,5,0,7104,1760,2817,1582,526,229,142,48,4430,3940,490,32152,0.5174,668,2081,1164,917,6316,1632,4684,3940,3602,3115,487,0,0,0,230,0,108,29,9978,1076,8902,4385,5424
"7",1013,"05000US01013","Butler County","Butler County, Alabama","al",50,0,"ACSSF",19,NA,NA,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20025,20025,25.77756,776.838564503002,20025,1205,1293,1274,794,1571,2424,2401,2427,2830,2081,1168,557,20025,10414,9055,2,231,0,0,323,13888,2141,6091,3421,1344,655,136,100,8452,7885,567,39109,0.4708,606,4527,1585,2942,11508,2575,8933,7769,7483,6513,970,0,0,0,72,92,122,24,19734,2005,17729,8613,12309
"8",1015,"05000US01015","Calhoun County","Calhoun County, Alabama","al",50,0,"ACSSF",20,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115098,115098,189.9722,605.867529888169,115098,6562,6844,7158,4632,10767,15017,13845,14958,15929,11489,5847,2050,115098,85558,23676,353,1065,9,1701,2736,79135,12620,25653,26643,8060,4372,987,800,52785,48157,4628,45197,0.4676,680,24786,6490,18296,68259,12350,55909,47147,44491,39985,4506,152,84,0,588,393,1439,25,113561,10686,102875,46695,75940
"9",1017,"05000US01017","Chambers County","Chambers County, Alabama","al",50,0,"ACSSF",21,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33826,33826,56.70167,596.560898351653,33826,1950,1728,2099,1229,3256,3691,3973,4648,4843,3775,1932,702,33826,19483,13319,97,405,0,175,347,23564,4383,9060,7003,2200,602,245,71,15559,14786,773,39872,0.4568,715,6835,1620,5215,20228,3232,16996,14396,13917,12273,1644,27,0,0,91,103,258,24,33433,3613,29820,13996,20249
"10",1019,"05000US01019","Cherokee County","Cherokee County, Alabama","al",50,0,"ACSSF",22,NA,NA,NA,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25853,25853,46.7061,553.52507270304,25853,1204,1470,1520,1092,1894,2529,2917,3642,3964,3426,1716,479,25853,23997,1267,236,55,0,90,208,18673,3692,7157,5417,1273,665,358,111,10386,9805,581,41014,0.4539,606,5200,928,4272,14841,2255,12586,9671,9333,8038,1295,22,0,0,29,118,169,28,25587,2133,23454,11059,17359
